Time,UPHTRTMP_1,LOHTRTMP_1,WHDSSPUP_1,WHDISPUP_1,WHDSSPLO_1,WHDISPLO_1,DMDCYCLO_1,DMDCYCUP_1,VSHP_REQ_1,HEATCTRL_1,VFD_TSPD_1,FAN_CTRL_1,UPPERRLY_1,LOWERRLY_1,WHTRCNFG_1,WHTRENAB_1,WHTRSETP_1,ELECCNFG_1,OPRSTATE_1
2026-05-15T14:06:42,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:06:43,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:06:44,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:06:45,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:06:46,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:06:47,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:06:48,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:06:49,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:06:50,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:06:51,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:06:52,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:06:53,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:06:54,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:06:55,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:06:56,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:06:57,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:06:58,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:06:59,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:07:00,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:07:01,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:07:02,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:07:03,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:07:04,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:07:05,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:07:06,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:07:07,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:07:08,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:07:09,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:07:10,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
2026-05-15T14:07:11,122.5,120.6,120,105,120,105,Off,Off,Off,Off,0,Off,Off,Off,Electric/Gas,Enabled,120,DualConcurrent,Standby
